t1,s1,c1,tp,fp,tn,fn,precision,recall
0.05000000000000001,4,0.105,0,71,0,0,0.0,
0.05000000000000001,4,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,4,0.2,0,71,0,0,0.0,
0.05000000000000001,5,0.01,0,71,0,0,0.0,
0.05000000000000001,5,0.0575,0,71,0,0,0.0,
0.05000000000000001,5,0.105,0,71,0,0,0.0,
0.05000000000000001,5,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,5,0.2,0,71,0,0,0.0,
0.05000000000000001,6,0.01,0,71,0,0,0.0,
0.05000000000000001,6,0.0575,0,71,0,0,0.0,
0.05000000000000001,6,0.105,0,71,0,0,0.0,
0.05000000000000001,6,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,6,0.2,0,71,0,0,0.0,
0.05000000000000001,7,0.01,0,71,0,0,0.0,
0.05000000000000001,7,0.0575,0,71,0,0,0.0,
0.05000000000000001,7,0.105,0,71,0,0,0.0,
0.05000000000000001,7,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,7,0.2,0,71,0,0,0.0,
0.05000000000000001,8,0.01,0,71,0,0,0.0,
0.05000000000000001,8,0.0575,0,71,0,0,0.0,
0.05000000000000001,8,0.105,0,71,0,0,0.0,
0.05000000000000001,8,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,8,0.2,0,71,0,0,0.0,
0.05000000000000001,9,0.01,0,71,0,0,0.0,
0.05000000000000001,9,0.0575,0,71,0,0,0.0,
0.05000000000000001,9,0.105,0,71,0,0,0.0,
0.05000000000000001,9,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,9,0.2,0,71,0,0,0.0,
0.05000000000000001,10,0.01,0,71,0,0,0.0,
0.05000000000000001,10,0.0575,0,71,0,0,0.0,
0.05000000000000001,10,0.105,0,71,0,0,0.0,
0.05000000000000001,10,0.15250000000000002,0,71,0,0,0.0,
0.05000000000000001,10,0.2,0,71,0,0,0.0,
0.06000000000000001,1,0.01,0,71,0,0,0.0,
0.06000000000000001,1,0.0575,0,71,0,0,0.0,
0.06000000000000001,1,0.105,0,71,0,0,0.0,
0.06000000000000001,1,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,1,0.2,0,71,0,0,0.0,
0.06000000000000001,2,0.01,0,71,0,0,0.0,
0.06000000000000001,2,0.0575,0,71,0,0,0.0,
0.06000000000000001,2,0.105,0,71,0,0,0.0,
0.06000000000000001,2,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,2,0.2,0,71,0,0,0.0,
0.06000000000000001,3,0.01,0,71,0,0,0.0,
0.06000000000000001,3,0.0575,0,71,0,0,0.0,
0.06000000000000001,3,0.105,0,71,0,0,0.0,
0.06000000000000001,3,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,3,0.2,0,71,0,0,0.0,
0.06000000000000001,4,0.01,0,71,0,0,0.0,
0.06000000000000001,4,0.0575,0,71,0,0,0.0,
0.06000000000000001,4,0.105,0,71,0,0,0.0,
0.06000000000000001,4,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,4,0.2,0,71,0,0,0.0,
0.06000000000000001,5,0.01,0,71,0,0,0.0,
0.06000000000000001,5,0.0575,0,71,0,0,0.0,
0.06000000000000001,5,0.105,0,71,0,0,0.0,
0.06000000000000001,5,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,5,0.2,0,71,0,0,0.0,
0.06000000000000001,6,0.01,0,71,0,0,0.0,
0.06000000000000001,6,0.0575,0,71,0,0,0.0,
0.06000000000000001,6,0.105,0,71,0,0,0.0,
0.06000000000000001,6,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,6,0.2,0,71,0,0,0.0,
0.06000000000000001,7,0.01,0,71,0,0,0.0,
0.06000000000000001,7,0.0575,0,71,0,0,0.0,
0.06000000000000001,7,0.105,0,71,0,0,0.0,
0.06000000000000001,7,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,7,0.2,0,71,0,0,0.0,
0.06000000000000001,8,0.01,0,71,0,0,0.0,
0.06000000000000001,8,0.0575,0,71,0,0,0.0,
0.06000000000000001,8,0.105,0,71,0,0,0.0,
0.06000000000000001,8,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,8,0.2,0,71,0,0,0.0,
0.06000000000000001,9,0.01,0,71,0,0,0.0,
0.06000000000000001,9,0.0575,0,71,0,0,0.0,
0.06000000000000001,9,0.105,0,71,0,0,0.0,
0.06000000000000001,9,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,9,0.2,0,71,0,0,0.0,
0.06000000000000001,10,0.01,0,71,0,0,0.0,
0.06000000000000001,10,0.0575,0,71,0,0,0.0,
0.06000000000000001,10,0.105,0,71,0,0,0.0,
0.06000000000000001,10,0.15250000000000002,0,71,0,0,0.0,
0.06000000000000001,10,0.2,0,71,0,0,0.0,
0.07,1,0.01,0,71,0,0,0.0,
0.07,1,0.0575,0,71,0,0,0.0,
0.07,1,0.105,0,71,0,0,0.0,
0.07,1,0.15250000000000002,0,71,0,0,0.0,
0.07,1,0.2,0,71,0,0,0.0,
0.07,2,0.01,0,71,0,0,0.0,
0.07,2,0.0575,0,71,0,0,0.0,
0.07,2,0.105,0,71,0,0,0.0,
0.07,2,0.15250000000000002,0,71,0,0,0.0,
0.07,2,0.2,0,71,0,0,0.0,
0.07,3,0.01,0,71,0,0,0.0,
0.07,3,0.0575,0,71,0,0,0.0,
0.07,3,0.105,0,71,0,0,0.0,
0.07,3,0.15250000000000002,0,71,0,0,0.0,
0.07,3,0.2,0,71,0,0,0.0,
0.07,4,0.01,0,71,0,0,0.0,
0.07,4,0.0575,0,71,0,0,0.0,
0.07,4,0.105,0,71,0,0,0.0,
0.07,4,0.15250000000000002,0,71,0,0,0.0,
0.07,4,0.2,0,71,0,0,0.0,
0.07,5,0.01,0,71,0,0,0.0,
0.07,5,0.0575,0,71,0,0,0.0,
0.07,5,0.105,0,71,0,0,0.0,
0.07,5,0.15250000000000002,0,71,0,0,0.0,
0.07,5,0.2,0,71,0,0,0.0,
0.07,6,0.01,0,71,0,0,0.0,
0.07,6,0.0575,0,71,0,0,0.0,
0.07,6,0.105,0,71,0,0,0.0,
0.07,6,0.15250000000000002,0,71,0,0,0.0,
0.07,6,0.2,0,71,0,0,0.0,
0.07,7,0.01,0,71,0,0,0.0,
0.07,7,0.0575,0,71,0,0,0.0,
0.07,7,0.105,0,71,0,0,0.0,
0.07,7,0.15250000000000002,0,71,0,0,0.0,
0.07,7,0.2,0,71,0,0,0.0,
0.07,8,0.01,0,71,0,0,0.0,
0.07,8,0.0575,0,71,0,0,0.0,
0.07,8,0.105,0,71,0,0,0.0,
0.07,8,0.15250000000000002,0,71,0,0,0.0,
0.07,8,0.2,0,71,0,0,0.0,
0.07,9,0.01,0,71,0,0,0.0,
0.07,9,0.0575,0,71,0,0,0.0,
0.07,9,0.105,0,71,0,0,0.0,
0.07,9,0.15250000000000002,0,71,0,0,0.0,
0.07,9,0.2,0,71,0,0,0.0,
0.07,10,0.01,0,71,0,0,0.0,
0.07,10,0.0575,0,71,0,0,0.0,
0.07,10,0.105,0,71,0,0,0.0,
0.07,10,0.15250000000000002,0,71,0,0,0.0,
0.07,10,0.2,0,71,0,0,0.0,
0.08,1,0.01,0,71,0,0,0.0,
0.08,1,0.0575,0,71,0,0,0.0,
0.08,1,0.105,0,71,0,0,0.0,
0.08,1,0.15250000000000002,0,71,0,0,0.0,
0.08,1,0.2,0,71,0,0,0.0,
0.08,2,0.01,0,71,0,0,0.0,
0.08,2,0.0575,0,71,0,0,0.0,
0.08,2,0.105,0,71,0,0,0.0,
0.08,2,0.15250000000000002,0,71,0,0,0.0,
0.08,2,0.2,0,71,0,0,0.0,
0.08,3,0.01,0,71,0,0,0.0,
0.08,3,0.0575,0,71,0,0,0.0,
0.08,3,0.105,0,71,0,0,0.0,
0.08,3,0.15250000000000002,0,71,0,0,0.0,
0.08,3,0.2,0,71,0,0,0.0,
0.08,4,0.01,0,71,0,0,0.0,
0.08,4,0.0575,0,71,0,0,0.0,
0.08,4,0.105,0,71,0,0,0.0,
0.08,4,0.15250000000000002,0,71,0,0,0.0,
0.08,4,0.2,0,71,0,0,0.0,
0.08,5,0.01,0,71,0,0,0.0,
0.08,5,0.0575,0,71,0,0,0.0,
0.08,5,0.105,0,71,0,0,0.0,
0.08,5,0.15250000000000002,0,71,0,0,0.0,
0.08,5,0.2,0,71,0,0,0.0,
0.08,6,0.01,0,71,0,0,0.0,
0.08,6,0.0575,0,71,0,0,0.0,
0.08,6,0.105,0,71,0,0,0.0,
0.08,6,0.15250000000000002,0,71,0,0,0.0,
0.08,6,0.2,0,71,0,0,0.0,
0.08,7,0.01,0,71,0,0,0.0,
0.08,7,0.0575,0,71,0,0,0.0,
0.08,7,0.105,0,71,0,0,0.0,
0.08,7,0.15250000000000002,0,71,0,0,0.0,
0.08,7,0.2,0,71,0,0,0.0,
0.08,8,0.01,0,71,0,0,0.0,
0.08,8,0.0575,0,71,0,0,0.0,
0.08,8,0.105,0,71,0,0,0.0,
0.08,8,0.15250000000000002,0,71,0,0,0.0,
0.08,8,0.2,0,71,0,0,0.0,
0.08,9,0.01,0,71,0,0,0.0,
0.08,9,0.0575,0,71,0,0,0.0,
0.08,9,0.105,0,71,0,0,0.0,
0.08,9,0.15250000000000002,0,71,0,0,0.0,
0.08,9,0.2,0,71,0,0,0.0,
0.08,10,0.01,0,71,0,0,0.0,
0.08,10,0.0575,0,71,0,0,0.0,
0.08,10,0.105,0,71,0,0,0.0,
0.08,10,0.15250000000000002,0,71,0,0,0.0,
0.08,10,0.2,0,71,0,0,0.0,
0.09000000000000001,1,0.01,0,71,0,0,0.0,
0.09000000000000001,1,0.0575,0,71,0,0,0.0,
0.09000000000000001,1,0.105,0,71,0,0,0.0,
0.09000000000000001,1,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,1,0.2,0,71,0,0,0.0,
0.09000000000000001,2,0.01,0,71,0,0,0.0,
0.09000000000000001,2,0.0575,0,71,0,0,0.0,
0.09000000000000001,2,0.105,0,71,0,0,0.0,
0.09000000000000001,2,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,2,0.2,0,71,0,0,0.0,
0.09000000000000001,3,0.01,0,71,0,0,0.0,
0.09000000000000001,3,0.0575,0,71,0,0,0.0,
0.09000000000000001,3,0.105,0,71,0,0,0.0,
0.09000000000000001,3,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,3,0.2,0,71,0,0,0.0,
0.09000000000000001,4,0.01,0,71,0,0,0.0,
0.09000000000000001,4,0.0575,0,71,0,0,0.0,
0.09000000000000001,4,0.105,0,71,0,0,0.0,
0.09000000000000001,4,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,4,0.2,0,71,0,0,0.0,
0.09000000000000001,5,0.01,0,71,0,0,0.0,
0.09000000000000001,5,0.0575,0,71,0,0,0.0,
0.09000000000000001,5,0.105,0,71,0,0,0.0,
0.09000000000000001,5,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,5,0.2,0,71,0,0,0.0,
0.09000000000000001,6,0.01,0,71,0,0,0.0,
0.09000000000000001,6,0.0575,0,71,0,0,0.0,
0.09000000000000001,6,0.105,0,71,0,0,0.0,
0.09000000000000001,6,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,6,0.2,0,71,0,0,0.0,
0.09000000000000001,7,0.01,0,71,0,0,0.0,
0.09000000000000001,7,0.0575,0,71,0,0,0.0,
0.09000000000000001,7,0.105,0,71,0,0,0.0,
0.09000000000000001,7,0.15250000000000002,0,71,0,0,0.0,
0.09000000000000001,7,0.2,0,71,0,0,0.0,
0.09000000000000001,8,0.01,0,71,0,0,0.0,
