context_size,context_adapters,candidate_adapter,prior_any_hit_count,candidate_total_hit_count,candidate_overlap_count,marginal_unique_hit_count,with_candidate_any_hit_count,marginal_coverage_rate_delta,candidate_marginal_share,fixture_sha256
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,171,67,67,0,171,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,108,67,67,0,108,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,168,96,93,3,171,0.00185300,0.03125000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,137,96,67,29,166,0.01791229,0.30208333,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,170,96,95,1,171,0.00061767,0.01041667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
3,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,107,96,95,1,108,0.00061767,0.01041667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
4,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,108,73,10,63,171,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,171,71,71,0,171,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,166,104,99,5,171,0.00308833,0.04807692,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,171,67,67,0,171,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,170,96,95,1,171,0.00061767,0.01041667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
