period,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,cohort_hit_count,cohort_any_hit,fixture_sha256
102000010,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000011,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000012,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000013,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000014,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000015,0,1,1,1,1,4,1,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000016,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000017,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000018,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000019,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000020,1,0,0,0,0,1,1,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000021,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000022,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000023,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000024,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000025,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000026,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000027,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000028,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000029,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000030,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000031,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000032,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000033,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000034,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000035,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000036,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000037,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000038,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000039,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000040,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000041,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000042,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000043,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000044,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
102000045,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
