lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|cold_complement_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.573333333333,0.125333333333,0.122448979592,0.000000000000,0.241333333333,0.117333333333,0.017333333334,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|coldpool15_biglotto,2,2.000000,2.000000,0.666667,100,50,0.560000000000,0.110000000000,0.122448979592,0.000000000000,0.200000000000,0.100000000000,0.040000000000,N,N
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|coldpool15_biglotto,2,2.000000,2.000000,0.666667,600,300,0.533333333333,0.110000000000,0.122448979592,0.000000000000,0.236666666667,0.110000000000,0.023333333333,N,N
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|coldpool15_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.573333333333,0.125333333333,0.122448979592,0.000000000000,0.241333333333,0.117333333333,0.017333333334,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,100,50,0.700000000000,0.140000000000,0.122448979592,0.000000000000,0.260000000000,0.040000000000,0.020000000000,N,Y
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,600,300,0.636666666667,0.140555555556,0.122448979592,0.000000000000,0.253333333333,0.106666666666,0.013333333333,N,Y
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.625333333333,0.135777777778,0.122448979592,0.000000000000,0.242666666666,0.108000000000,0.012000000000,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,100,50,0.580000000000,0.120000000000,0.122448979592,0.000000000000,0.240000000000,0.060000000000,0.000000000000,N,N
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,600,300,0.580000000000,0.121111111111,0.122448979592,0.000000000000,0.260000000000,0.096666666666,0.013333333333,N,N
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.605333333333,0.135777777778,0.122448979592,0.000000000000,0.242666666667,0.116000000000,0.013333333334,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|markov_single_biglotto,2,2.000000,2.000000,0.666667,100,50,0.580000000000,0.120000000000,0.122448979592,0.000000000000,0.240000000000,0.060000000000,0.000000000000,N,N
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|markov_single_biglotto,2,2.000000,2.000000,0.666667,600,300,0.580000000000,0.121111111111,0.122448979592,0.000000000000,0.260000000000,0.096666666666,0.013333333333,N,N
BIG_LOTTO,recent_750,2,bet2_fourier_expansion_biglotto|markov_single_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.605333333333,0.135777777778,0.122448979592,0.000000000000,0.242666666667,0.116000000000,0.013333333334,N,Y
BIG_LOTTO,recent_50,2,bet2_fourier_expansion_biglotto|ts3_regime_3bet,2,2.000000,2.000000,0.666667,100,50,1.000000000000,1.000000000000,0.122448979592,1.000000000000,0.000000000000,0.000000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,bet2_fourier_expansion_biglotto|ts3_regime_3bet,2,2.000000,2.000000,0.666667,600,300,1.000000000000,0.988333333333,0.122448979592,0.933333333333,0.000000000000,0.003333333334,0.000000000000,N,Y
