rank,strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
29,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,10,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.005530864197530865,"[-0.008543209877,-0.002123456790]",0.9998537458901076
30,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,,10,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.005530864197530865,"[-0.008345679012,-0.002271604938]",0.9998941798603658
1,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,15,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0013827160493827158,"[-0.002024691358,0.005283950617]",0.23941851793890306
2,biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,biglotto_triple_strike,,15,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0013827160493827158,"[-0.001925925926,0.005530864198]",0.2361857987630706
3,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,biglotto_ts3_acb_4bet,ts3_acb_aliases,15,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0008888888888888886,"[-0.002419753086,0.004938271605]",0.3224196420973642
4,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,,15,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0008888888888888886,"[-0.002370370370,0.004493827160]",0.32110687110301306
5,markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,markov_2bet_biglotto,,15,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0008888888888888886,"[-0.002320987654,0.004493827160]",0.3211068711030131
6,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,biglotto_ts3_markov_4bet_w30,,15,20,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.00039506172839506143,"[-0.002765432099,0.003950617284]",0.4221561784094267
7,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,,15,20,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.00039506172839506143,"[-0.002765432099,0.003901234568]",0.4221561784094266
8,markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,markov_single_biglotto,,15,20,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",102,0.005037037037037037,"[0.004098765432,0.006074074074]",0.0003950617283950615,"[-0.002716049383,0.004049382716]",0.42077314120418063
